Bandit,Reward,Algorithm
245,3,epsilon_greedy
246,3,epsilon_greedy
247,3,epsilon_greedy
248,3,epsilon_greedy
249,3,epsilon_greedy
250,3,epsilon_greedy
251,3,epsilon_greedy
252,3,epsilon_greedy
253,3,epsilon_greedy
254,3,epsilon_greedy
255,3,epsilon_greedy
256,3,epsilon_greedy
257,3,epsilon_greedy
258,3,epsilon_greedy
259,3,epsilon_greedy
260,3,epsilon_greedy
261,3,epsilon_greedy
262,3,epsilon_greedy
263,3,epsilon_greedy
264,3,epsilon_greedy
265,3,epsilon_greedy
266,3,epsilon_greedy
267,3,epsilon_greedy
268,3,epsilon_greedy
269,3,epsilon_greedy
270,3,epsilon_greedy
271,3,epsilon_greedy
272,3,epsilon_greedy
273,3,epsilon_greedy
274,3,epsilon_greedy
275,3,epsilon_greedy
276,3,epsilon_greedy
277,3,epsilon_greedy
278,3,epsilon_greedy
279,3,epsilon_greedy
280,3,epsilon_greedy
281,3,epsilon_greedy
282,3,epsilon_greedy
283,3,epsilon_greedy
284,3,epsilon_greedy
285,3,epsilon_greedy
286,3,epsilon_greedy
287,3,epsilon_greedy
288,3,epsilon_greedy
289,3,epsilon_greedy
290,3,epsilon_greedy
291,3,epsilon_greedy
292,3,epsilon_greedy
293,3,epsilon_greedy
294,3,epsilon_greedy
295,3,epsilon_greedy
296,3,epsilon_greedy
297,3,epsilon_greedy
298,3,epsilon_greedy
299,3,epsilon_greedy
300,3,epsilon_greedy
301,3,epsilon_greedy
302,3,epsilon_greedy
303,3,epsilon_greedy
304,3,epsilon_greedy
305,3,epsilon_greedy
306,3,epsilon_greedy
307,3,epsilon_greedy
308,3,epsilon_greedy
309,3,epsilon_greedy
310,3,epsilon_greedy
311,3,epsilon_greedy
312,3,epsilon_greedy
313,3,epsilon_greedy
314,3,epsilon_greedy
315,3,epsilon_greedy
316,3,epsilon_greedy
317,3,epsilon_greedy
318,3,epsilon_greedy
319,3,epsilon_greedy
320,3,epsilon_greedy
321,3,epsilon_greedy
322,3,epsilon_greedy
323,3,epsilon_greedy
324,3,epsilon_greedy
325,3,epsilon_greedy
326,3,epsilon_greedy
327,3,epsilon_greedy
328,3,epsilon_greedy
329,3,epsilon_greedy
330,3,epsilon_greedy
331,3,epsilon_greedy
332,3,epsilon_greedy
333,3,epsilon_greedy
334,3,epsilon_greedy
335,3,epsilon_greedy
336,3,epsilon_greedy
337,3,epsilon_greedy
338,3,epsilon_greedy
339,3,epsilon_greedy
340,3,epsilon_greedy
341,3,epsilon_greedy
342,3,epsilon_greedy
343,3,epsilon_greedy
344,3,epsilon_greedy
345,3,epsilon_greedy
346,3,epsilon_greedy
347,3,epsilon_greedy
348,3,epsilon_greedy
349,3,epsilon_greedy
350,3,epsilon_greedy
351,3,epsilon_greedy
352,3,epsilon_greedy
