Bandit,Reward,Algorithm
265,1,thompson_sampling
266,1,thompson_sampling
267,1,thompson_sampling
268,1,thompson_sampling
269,1,thompson_sampling
270,1,thompson_sampling
271,1,thompson_sampling
272,1,thompson_sampling
273,1,thompson_sampling
274,1,thompson_sampling
275,1,thompson_sampling
276,1,thompson_sampling
277,1,thompson_sampling
278,1,thompson_sampling
279,1,thompson_sampling
280,1,thompson_sampling
281,1,thompson_sampling
282,1,thompson_sampling
283,1,thompson_sampling
284,1,thompson_sampling
285,1,thompson_sampling
286,1,thompson_sampling
287,1,thompson_sampling
288,1,thompson_sampling
289,1,thompson_sampling
290,1,thompson_sampling
291,1,thompson_sampling
292,1,thompson_sampling
293,1,thompson_sampling
294,1,thompson_sampling
295,1,thompson_sampling
296,1,thompson_sampling
297,1,thompson_sampling
298,1,thompson_sampling
299,1,thompson_sampling
300,1,thompson_sampling
301,1,thompson_sampling
302,1,thompson_sampling
303,1,thompson_sampling
304,1,thompson_sampling
305,1,thompson_sampling
306,1,thompson_sampling
307,1,thompson_sampling
308,1,thompson_sampling
309,1,thompson_sampling
310,1,thompson_sampling
311,1,thompson_sampling
312,1,thompson_sampling
313,1,thompson_sampling
314,1,thompson_sampling
315,1,thompson_sampling
316,1,thompson_sampling
317,2,thompson_sampling
318,1,thompson_sampling
319,1,thompson_sampling
320,1,thompson_sampling
321,1,thompson_sampling
322,1,thompson_sampling
323,1,thompson_sampling
324,1,thompson_sampling
325,1,thompson_sampling
326,1,thompson_sampling
327,1,thompson_sampling
328,1,thompson_sampling
329,1,thompson_sampling
330,1,thompson_sampling
331,1,thompson_sampling
332,1,thompson_sampling
333,1,thompson_sampling
334,1,thompson_sampling
335,1,thompson_sampling
336,1,thompson_sampling
337,1,thompson_sampling
338,1,thompson_sampling
339,1,thompson_sampling
340,1,thompson_sampling
341,1,thompson_sampling
342,1,thompson_sampling
343,1,thompson_sampling
344,1,thompson_sampling
345,1,thompson_sampling
346,1,thompson_sampling
347,1,thompson_sampling
348,1,thompson_sampling
349,1,thompson_sampling
350,1,thompson_sampling
351,1,thompson_sampling
352,1,thompson_sampling
353,1,thompson_sampling
354,1,thompson_sampling
355,1,thompson_sampling
356,1,thompson_sampling
357,1,thompson_sampling
358,1,thompson_sampling
359,1,thompson_sampling
360,1,thompson_sampling
361,1,thompson_sampling
362,1,thompson_sampling
363,1,thompson_sampling
364,1,thompson_sampling
365,1,thompson_sampling
366,1,thompson_sampling
367,1,thompson_sampling
368,1,thompson_sampling
369,1,thompson_sampling
370,1,thompson_sampling
371,1,thompson_sampling
372,1,thompson_sampling
373,1,thompson_sampling
374,1,thompson_sampling
375,1,thompson_sampling
376,1,thompson_sampling
377,1,thompson_sampling
378,1,thompson_sampling
379,1,thompson_sampling
380,1,thompson_sampling
381,1,thompson_sampling
382,1,thompson_sampling
383,1,thompson_sampling
384,1,thompson_sampling
385,1,thompson_sampling
386,1,thompson_sampling
387,1,thompson_sampling
388,1,thompson_sampling
389,1,thompson_sampling
390,1,thompson_sampling
391,1,thompson_sampling
392,1,thompson_sampling
393,1,thompson_sampling
394,1,thompson_sampling
395,1,thompson_sampling
396,1,thompson_sampling
397,1,thompson_sampling
398,1,thompson_sampling
399,1,thompson_sampling
400,1,thompson_sampling
401,1,thompson_sampling
402,1,thompson_sampling
403,1,thompson_sampling
404,1,thompson_sampling
405,2,thompson_sampling
406,1,thompson_sampling
407,1,thompson_sampling
408,1,thompson_sampling
409,1,thompson_sampling
410,1,thompson_sampling
411,1,thompson_sampling
412,1,thompson_sampling
413,1,thompson_sampling
414,1,thompson_sampling
415,1,thompson_sampling
416,1,thompson_sampling
417,1,thompson_sampling
418,1,thompson_sampling
419,1,thompson_sampling
420,1,thompson_sampling
421,1,thompson_sampling
422,1,thompson_sampling
423,1,thompson_sampling
424,1,thompson_sampling
425,1,thompson_sampling
426,1,thompson_sampling
427,1,thompson_sampling
428,1,thompson_sampling
429,1,thompson_sampling
430,1,thompson_sampling
431,1,thompson_sampling
432,1,thompson_sampling
433,1,thompson_sampling
434,1,thompson_sampling
435,1,thompson_sampling
436,1,thompson_sampling
437,1,thompson_sampling
438,1,thompson_sampling
439,1,thompson_sampling
440,1,thompson_sampling
441,1,thompson_sampling
442,1,thompson_sampling
443,1,thompson_sampling
444,1,thompson_sampling
445,1,thompson_sampling
446,1,thompson_sampling
447,1,thompson_sampling
448,1,thompson_sampling
449,1,thompson_sampling
450,1,thompson_sampling
451,1,thompson_sampling
452,1,thompson_sampling
453,1,thompson_sampling
454,1,thompson_sampling
455,1,thompson_sampling
456,1,thompson_sampling
457,1,thompson_sampling
458,1,thompson_sampling
459,1,thompson_sampling
460,1,thompson_sampling
461,1,thompson_sampling
462,1,thompson_sampling
463,1,thompson_sampling
464,1,thompson_sampling
465,1,thompson_sampling
466,1,thompson_sampling
467,1,thompson_sampling
468,1,thompson_sampling
469,1,thompson_sampling
470,1,thompson_sampling
471,1,thompson_sampling
472,1,thompson_sampling
473,1,thompson_sampling
474,1,thompson_sampling
475,1,thompson_sampling
476,1,thompson_sampling
477,1,thompson_sampling
478,1,thompson_sampling
479,1,thompson_sampling
480,1,thompson_sampling
481,1,thompson_sampling
482,1,thompson_sampling
483,1,thompson_sampling
484,1,thompson_sampling
485,1,thompson_sampling
486,1,thompson_sampling
487,1,thompson_sampling
488,1,thompson_sampling
489,1,thompson_sampling
490,1,thompson_sampling
491,1,thompson_sampling
492,1,thompson_sampling
493,1,thompson_sampling
494,1,thompson_sampling
495,1,thompson_sampling
496,1,thompson_sampling
497,1,thompson_sampling
498,1,thompson_sampling
499,1,thompson_sampling
500,1,thompson_sampling
501,1,thompson_sampling
502,1,thompson_sampling
503,1,thompson_sampling
504,1,thompson_sampling
505,1,thompson_sampling
506,1,thompson_sampling
507,1,thompson_sampling
508,1,thompson_sampling
509,1,thompson_sampling
510,1,thompson_sampling
511,1,thompson_sampling
512,1,thompson_sampling
513,1,thompson_sampling
514,1,thompson_sampling
515,1,thompson_sampling
516,1,thompson_sampling
517,1,thompson_sampling
518,1,thompson_sampling
519,1,thompson_sampling
520,1,thompson_sampling
521,1,thompson_sampling
522,1,thompson_sampling
523,1,thompson_sampling
524,1,thompson_sampling
525,1,thompson_sampling
526,1,thompson_sampling
527,1,thompson_sampling
528,1,thompson_sampling
529,1,thompson_sampling
530,1,thompson_sampling
531,1,thompson_sampling
532,1,thompson_sampling
533,1,thompson_sampling
534,1,thompson_sampling
535,1,thompson_sampling
536,1,thompson_sampling
537,1,thompson_sampling
538,1,thompson_sampling
539,1,thompson_sampling
540,1,thompson_sampling
541,1,thompson_sampling
542,1,thompson_sampling
543,1,thompson_sampling
544,1,thompson_sampling
545,1,thompson_sampling
546,1,thompson_sampling
547,1,thompson_sampling
548,1,thompson_sampling
549,1,thompson_sampling
550,1,thompson_sampling
551,1,thompson_sampling
552,1,thompson_sampling
553,1,thompson_sampling
554,1,thompson_sampling
555,1,thompson_sampling
